,type_of_punish,amnt_stop_investigation,stoped_by_law125678,by_amnnision,by_reconciliation,by_other_reson,by_being_crazy,amnt_opravdonyh,amnt_osuzhden,year_less_1,year_1_3,year_1_5,year_3_5,year_5_8,year_8_10,year_10_12,year_15_20,year_20_25,year_25_30,death_punish,forever_jail,total,to_jail_lead,by_st_58,by_st_60,had_restriction,penalty,сумма штрафа,isprav_rabot,uslov_osuzhd,otsr_punish_74,amnt_freed_amnist,freed_ugolov,obshest_rabot,freedom_restricted,arested,other_punish,without_ugolov,low_punish,arrested_law,confiscated_prop,heal_aclohol,heal_drugs,year,totals,year_exp,ind
0,rape,31,0,0,30,0,1,0,198,1,9,40,51,11,22,14,24,0,0,0,0,172,0,0,17,26,0,0,0,21,0,4,0.0,0,1,0,0,0.0,2,6,7,13,2,2016,229,2016,1
1,rape,45,0,0,37,2,6,0,185,0,7,22,46,18,16,27,19,2,0,0,0,157,0,65,19,10,0,0,0,16,0,3,1.0,0,8,0,0,0.0,3,12,12,18,0,2017,230,2017,2
2,rape,37,1,0,34,0,2,2,156,0,13,17,43,19,15,13,20,0,0,0,1,141,0,47,22,5,0,0,0,11,0,0,2.0,0,2,0,0,0.0,3,8,4,10,0,2018,195,2018,3
3,rape,23,0,0,20,1,2,2,173,0,12,13,41,15,9,26,22,1,0,0,1,140,0,57,10,18,0,0,0,30,0,0,1.0,0,2,0,0,0.0,2,11,1,13,2,2019,198,2019,4
4,rape,14,0,0,9,0,5,0,138,0,15,30,25,6,11,21,20,5,0,0,1,134,0,53,9,9,0,0,0,2,0,0,2.0,0,0,0,0,0.0,3,2,0,8,2,2020,152,2020,5
5,rape,5,0,0,2,0,3,2,213,0,4,33,47,22,14,33,28,11,0,0,6,198,0,75,14,19,0,0,0,12,0,0,0.0,0,0,0,0,3.0,1,4,0,25,3,2021,220,2021,6
6,rape,6,0,0,2,1,3,3,216,0,1,35,52,12,7,24,50,25,0,0,2,208,6,90,17,18,0,0,0,6,0,0,0.0,0,2,0,0,0.0,4,2,0,18,2,2022,225,2022,7
7,rape,4,0,0,0,0,4,2,171,0,2,22,35,19,6,16,48,12,0,0,3,163,1,55,15,14,0,0,0,8,0,0,0.0,0,0,0,0,0.0,1,2,0,9,1,2023,177,2023,8
